q_cms,NO3_mgNL,SRP_mgPL,DO_mgL,DO_sat,fDOM,pH,spCond,temp,turb,precip_mm,temp_C,atm_mbar,PAR_uE,windSpeed,gustSpeed,solarRad_wm2,windDir,Rh,dewPoint
0.555721486,0.259588258439699,0.001948702126003,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.566440499,0.259007004811058,0.002854590407381,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.555721486,0.257776593786163,0.002103372029978,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.514692921,0.256681373884586,0.002306429283747,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.545190224,0.257532970035224,0.002826877937153,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.504882865,0.256124810162173,0.002697279537544,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.504882865,0.255370175045329,0.002552260420135,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.485779157,0.256626353330816,0.001786890229646,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.495245879,0.256461539886028,0.002663449800773,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.495245879,0.256274962112764,0.002318674410192,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.476479933,0.257391854542587,0.001557262306904,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.495245879,0.258224866654489,0.002136795999678,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.476479933,0.25741094521981,0.001900007272879,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.476479933,0.254259645035676,0.001150993945421,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.45837312,0.254162539857572,0.001857324514972,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.514692921,0.252083132668121,0.001958209649186,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.467345482,0.256067751409955,0.001084416962842,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.476479933,0.254674153616756,0.001515072928469,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.467345482,0.254370493533334,0.001001399773455,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.399887833,0.260056408891832,0.000734281758587,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.45837312,0.244000617960046,0.001287841225589,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.424052259,0.251410372966835,0.001752862953487,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.449560203,0.251730441741126,0.002017830699196,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.424052259,0.252378637286092,0.002328041619718,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
